"customerkey","geographykey","customeralternatekey","firstname","middlename","lastname","maritalstatus","gender","yearlyincome","totalchildren","englishoccupation","datefirstpurchase"
14405,609,"AW00014405","Dylan","S","Walker","M","M","60000.00",2,"Professional","2022-09-21"
14406,299,"AW00014406","Carrie","M","Schmidt","M","F","60000.00",2,"Professional","2021-10-06"
14407,312,"AW00014407","Thomas",NULL,"Bryant","M","M","60000.00",2,"Professional","2023-01-03"
14408,343,"AW00014408","Jasmine","C","Cook","S","F","70000.00",4,"Professional","2022-12-06"
14409,343,"AW00014409","Eric",NULL,"Wang","M","M","70000.00",4,"Professional","2022-07-01"
14410,345,"AW00014410","Arianna",NULL,"Brooks","M","F","70000.00",4,"Professional","2022-11-26"
14411,542,"AW00014411","Ashley","S","Johnson","S","F","70000.00",2,"Professional","2021-10-03"
14412,543,"AW00014412","Nicole","J","Blue","S","F","70000.00",2,"Professional","2021-10-27"
14413,307,"AW00014413","Rachel","K","Patterson","M","F","60000.00",2,"Professional","2021-10-22"
14414,312,"AW00014414","Rachel",NULL,"Wilson","M","F","60000.00",2,"Professional","2021-10-14"
14415,337,"AW00014415","William","C","Davis","M","M","60000.00",2,"Professional","2021-10-14"
14416,59,"AW00014416","Madison",NULL,"Flores","M","F","60000.00",3,"Professional","2022-05-20"
14417,609,"AW00014417","Ernest","H","Lu","S","M","60000.00",3,"Professional","2021-10-02"
14418,542,"AW00014418","Rebecca","W","Young","M","F","60000.00",3,"Professional","2021-10-01"
14419,546,"AW00014419","Abigail","J","Ward","M","F","70000.00",4,"Professional","2021-11-12"
14420,626,"AW00014420","Chloe",NULL,"Wright","S","F","70000.00",4,"Professional","2021-11-26"
14421,553,"AW00014421","Hannah","W","Barnes","M","F","70000.00",5,"Professional","2021-11-05"
14422,177,"AW00014422","Cara",NULL,"Lu","S","F","130000.00",2,"Management","2022-04-06"
14423,236,"AW00014423","Jill","P","Ruiz","M","F","130000.00",2,"Management","2022-04-04"
14424,213,"AW00014424","Stefanie",NULL,"Raman","S","F","110000.00",2,"Professional","2021-03-04"
14425,129,"AW00014425","Victor",NULL,"Carlson","M","M","120000.00",2,"Professional","2020-09-15"
14426,117,"AW00014426","Madison","J","Hughes","M","F","130000.00",2,"Professional","2020-09-21"
14427,251,"AW00014427","Emmanuel",NULL,"Patel","M","M","130000.00",3,"Professional","2020-04-06"
14428,173,"AW00014428","Cassie",NULL,"Andersen","S","F","130000.00",3,"Professional","2020-08-29"
14429,252,"AW00014429","Lacey",NULL,"He","S","F","130000.00",3,"Professional","2020-03-31"
14430,637,"AW00014430","Sydney",NULL,"Jones","M","F","90000.00",2,"Professional","2022-10-02"
14431,300,"AW00014431","Kayla","A","Moore","M","F","70000.00",3,"Professional","2023-01-14"
14432,632,"AW00014432","Antonio","L","Russell","S","M","90000.00",4,"Management","2022-09-12"
14433,311,"AW00014433","Jennifer","H","Peterson","M","F","110000.00",1,"Management","2021-11-05"
14434,314,"AW00014434","Sophia","C","Hill","S","F","110000.00",1,"Management","2021-11-12"
14435,331,"AW00014435","Jennifer",NULL,"Wilson","M","F","110000.00",1,"Management","2022-08-12"
14436,68,"AW00014436","John","A","Martin","M","M","90000.00",4,"Professional","2022-05-17"
14437,536,"AW00014437","Mitchell","B","Anand","M","M","90000.00",5,"Professional","2022-12-18"
14438,618,"AW00014438","Gabrielle",NULL,"Gonzales","S","F","100000.00",3,"Management","2021-11-07"
14439,633,"AW00014439","Brian","E","Cox","M","M","100000.00",4,"Professional","2021-11-02"
14440,298,"AW00014440","Jon","K","Tang","M","M","100000.00",4,"Professional","2021-10-30"
14441,298,"AW00014441","William","N","Lewis","M","M","110000.00",2,"Management","2022-04-23"
14442,335,"AW00014442","Shelby",NULL,"Peterson","S","F","120000.00",3,"Professional","2021-11-18"
14443,339,"AW00014443","Benjamin",NULL,"Wilson","M","M","130000.00",1,"Management","2022-03-21"
14444,339,"AW00014444","Patrick","L","Sanders","M","M","130000.00",1,"Management","2022-06-24"
14445,352,"AW00014445","Benjamin","R","Henderson","M","M","130000.00",1,"Management","2022-04-06"
14446,62,"AW00014446","Jeremiah","A","Johnson","M","M","80000.00",4,"Management","2022-02-01"
14447,609,"AW00014447","Madison",NULL,"Alexander","S","F","80000.00",4,"Professional","2021-11-16"
14448,539,"AW00014448","Lauren",NULL,"Butler","M","F","90000.00",5,"Professional","2021-11-11"
14449,627,"AW00014449","Logan","S","Jenkins","S","M","90000.00",0,"Professional","2021-11-10"
14450,329,"AW00014450","Kevin","R","Butler","M","M","130000.00",2,"Management","2022-05-23"
14451,334,"AW00014451","Tyler",NULL,"Moore","S","M","130000.00",2,"Management","2021-11-03"
14452,633,"AW00014452","Alex","A","Gonzalez","M","M","70000.00",3,"Professional","2021-11-12"
14453,611,"AW00014453","Jesse",NULL,"Scott","S","M","90000.00",2,"Professional","2021-11-04"
14454,331,"AW00014454","Kayla",NULL,"Anderson","M","F","100000.00",1,"Management","2022-04-02"
14455,53,"AW00014455","Alexandra",NULL,"Mitchell","M","F","80000.00",4,"Professional","2022-03-02"
14456,638,"AW00014456","Benjamin",NULL,"Walker","S","M","90000.00",0,"Professional","2021-10-30"
14457,331,"AW00014457","Thomas","S","White","M","M","120000.00",4,"Professional","2021-11-30"
14458,62,"AW00014458","Jordan","K","Yang","M","M","80000.00",5,"Professional","2022-07-17"
14459,68,"AW00014459","Cody","C","Gray","S","M","80000.00",5,"Professional","2022-06-14"
14460,616,"AW00014460","Jose",NULL,"Long","M","M","100000.00",1,"Professional","2022-12-04"
14461,641,"AW00014461","Chloe",NULL,"Gonzalez","M","F","100000.00",1,"Professional","2021-12-20"
14462,300,"AW00014462","Beth",NULL,"Sanz","M","F","110000.00",1,"Management","2022-09-17"
14463,312,"AW00014463","Julia","V","Patterson","M","F","120000.00",1,"Professional","2022-03-08"
14464,358,"AW00014464","Elizabeth","J","Price","M","F","130000.00",1,"Management","2021-12-15"
14465,542,"AW00014465","Dakota","M","Patterson","M","M","90000.00",4,"Professional","2022-02-08"
14466,546,"AW00014466","Logan",NULL,"Adams","M","M","90000.00",4,"Professional","2022-10-13"
14467,634,"AW00014467","Aidan",NULL,"Russell","M","M","90000.00",4,"Professional","2022-05-10"
14468,642,"AW00014468","Grace","M","Rivera","S","F","90000.00",4,"Professional","2022-02-11"
14469,648,"AW00014469","Angela","E","Bell","M","F","100000.00",3,"Professional","2022-03-31"
14470,339,"AW00014470","Jeremy","S","Robinson","M","M","130000.00",1,"Management","2021-12-17"
14471,358,"AW00014471","Gabriel","R","Gonzalez","S","M","130000.00",1,"Management","2021-12-01"
14472,361,"AW00014472","Natalie","L","Diaz","M","F","130000.00",3,"Management","2021-12-25"
14473,368,"AW00014473","Miguel",NULL,"King","M","M","160000.00",1,"Management","2021-12-07"
14474,348,"AW00014474","Jacqueline","A","Murphy","M","F","60000.00",2,"Professional","2023-01-28"
14475,637,"AW00014475","Isabella","A","Perry","M","F","60000.00",2,"Professional","2022-04-17"
14476,612,"AW00014476","Bryce",NULL,"Reed","M","M","60000.00",2,"Professional","2022-08-26"
14477,368,"AW00014477","Lauren","D","Lee","S","F","70000.00",4,"Professional","2021-12-04"
14478,51,"AW00014478","Abigail","H","Patterson","S","F","80000.00",2,"Skilled Manual","2022-06-09"
14479,385,"AW00014479","Samantha","J","Smith","S","F","170000.00",1,"Management","2022-12-12"
14480,68,"AW00014480","Jackson","S","Gonzalez","M","M","80000.00",5,"Professional","2022-08-12"
14481,611,"AW00014481","Mary","B","Edwards","S","F","90000.00",4,"Professional","2021-12-18"
14482,539,"AW00014482","Noah",NULL,"Perez","M","M","90000.00",4,"Professional","2023-01-05"
14483,542,"AW00014483","Nicole","A","Henderson","M","F","90000.00",4,"Professional","2022-05-16"
14484,343,"AW00014484","Samantha",NULL,"Hall","M","F","130000.00",4,"Management","2021-12-02"
14485,355,"AW00014485","Bailey","J","Stewart","M","F","160000.00",1,"Professional","2021-12-18"
14486,368,"AW00014486","Jonathan","R","Coleman","M","M","170000.00",1,"Management","2021-11-28"
14487,358,"AW00014487","Seth",NULL,"Hall","M","M","60000.00",2,"Skilled Manual","2022-06-09"
14488,299,"AW00014488","Connor","S","Hughes","M","M","70000.00",3,"Professional","2022-10-09"
14489,325,"AW00014489","Jason","R","Wang","M","M","70000.00",3,"Management","2022-10-27"
14490,312,"AW00014490","Aidan","B","Butler","M","M","70000.00",3,"Management","2022-12-04"
14491,359,"AW00014491","Isaac",NULL,"Bailey","S","M","70000.00",3,"Management","2022-05-26"
14492,635,"AW00014492","Justin","M","Patterson","M","M","70000.00",3,"Management","2022-04-20"
14493,374,"AW00014493","Sara",NULL,"Parker","S","F","70000.00",3,"Management","2022-12-05"
14494,548,"AW00014494","Cameron",NULL,"Diaz","M","M","60000.00",3,"Management","2021-12-01"
14495,326,"AW00014495","Nathan",NULL,"Diaz","M","M","40000.00",3,"Professional","2021-12-18"
14496,51,"AW00014496","Cindy",NULL,"Stewart","M","F","40000.00",3,"Professional","2022-06-04"
14497,52,"AW00014497","Allison",NULL,"Scott","M","F","40000.00",3,"Professional","2022-06-01"
14498,307,"AW00014498","Katie","L","Luo","M","F","70000.00",4,"Management","2021-11-29"
14499,315,"AW00014499","Samuel","G","Flores","M","M","100000.00",2,"Management","2022-10-30"
14500,374,"AW00014500","Jasmine","C","Ward","S","F","130000.00",2,"Management","2023-01-15"
14501,300,"AW00014501","Ruben",NULL,"Prasad","M","M","80000.00",4,"Management","2019-12-29"
14502,53,"AW00014502","Katelyn","A","Wright","M","F","90000.00",5,"Management","2022-03-18"
14503,644,"AW00014503","Brianna",NULL,"Alexander","M","F","90000.00",5,"Management","2022-05-18"
14504,69,"AW00014504","Nicole",NULL,"Jones","M","F","110000.00",2,"Management","2022-07-22"
14505,300,"AW00014505","Alex","K","Edwards","M","M","130000.00",2,"Management","2022-02-14"
14506,536,"AW00014506","Stacy","K","Suarez","M","F","90000.00",5,"Management","2022-11-13"
14507,385,"AW00014507","Eric",NULL,"Wright","M","M","100000.00",2,"Management","2022-02-12"
14508,345,"AW00014508","Madison","M","Hall","M","F","100000.00",2,"Management","2022-05-28"
14509,536,"AW00014509","Bridget","L","Deng","S","F","90000.00",4,"Skilled Manual","2022-09-29"
14510,616,"AW00014510","Samuel","R","Hernandez","S","M","100000.00",2,"Management","2020-01-22"
14511,618,"AW00014511","Danielle",NULL,"Rogers","M","F","100000.00",2,"Management","2022-04-05"
14512,633,"AW00014512","Christopher","J","Jones","M","M","100000.00",3,"Management","2022-02-06"
14513,302,"AW00014513","Alexandra",NULL,"Turner","M","F","130000.00",1,"Management","2022-10-20"
14514,299,"AW00014514","Rachel","D","Jones","S","F","30000.00",0,"Skilled Manual","2023-01-26"
14515,335,"AW00014515","Anna",NULL,"Cooper","S","F","30000.00",0,"Skilled Manual","2022-10-15"
14516,7,"AW00014516","Tommy",NULL,"Lal","S","M","10000.00",5,"Skilled Manual","2022-02-21"
14517,12,"AW00014517","Ebony",NULL,"Rodriguez","M","F","20000.00",3,"Skilled Manual","2022-07-10"
14518,21,"AW00014518","Ann","M","Mehta","M","F","10000.00",2,"Skilled Manual","2022-02-17"
14519,536,"AW00014519","Denise","S","Rana","S","F","40000.00",0,"Skilled Manual","2022-03-13"
14520,611,"AW00014520","Bonnie","C","Xu","S","F","40000.00",0,"Skilled Manual","2020-01-04"
14521,24,"AW00014521","Rodney",NULL,"Romero","M","M","20000.00",4,"Skilled Manual","2022-07-18"
14522,36,"AW00014522","Omar","C","Zheng","M","M","20000.00",4,"Skilled Manual","2022-05-14"
14523,16,"AW00014523","Lydia","M","Fernandez","M","F","30000.00",2,"Clerical","2021-09-16"
14524,212,"AW00014524","Carla",NULL,"Prasad","M","F","10000.00",0,"Manual","2021-03-04"
14525,238,"AW00014525","Claudia","J","Sun","M","F","10000.00",0,"Manual","2020-04-08"
14526,127,"AW00014526","Emily",NULL,"Hall","M","F","10000.00",1,"Manual","2022-06-15"
14527,133,"AW00014527","Kurt","T","Raji","M","M","10000.00",1,"Manual","2022-11-10"
14528,149,"AW00014528","Casey","C","Ramos","M","M","10000.00",1,"Manual","2022-07-27"
14529,270,"AW00014529","Kaitlin","J","Sai","S","F","20000.00",1,"Clerical","2022-04-13"
14530,271,"AW00014530","Ethan",NULL,"Smith","M","M","20000.00",1,"Clerical","2022-03-20"
14531,271,"AW00014531","Abigail",NULL,"Garcia","M","F","20000.00",1,"Clerical","2022-02-24"
14532,216,"AW00014532","Barbara","M","Wu","M","F","20000.00",1,"Clerical","2022-03-15"
14533,229,"AW00014533","Roberto","M","Alonso","S","M","10000.00",1,"Manual","2022-09-04"
14534,207,"AW00014534","Abby","P","Rana","S","F","10000.00",1,"Manual","2022-11-04"
14535,240,"AW00014535","Dustin",NULL,"Anand","S","M","20000.00",1,"Clerical","2022-03-08"
14536,180,"AW00014536","Krystal","A","Wu","S","F","20000.00",1,"Clerical","2022-07-03"
14537,153,"AW00014537","Clayton","K","Cai","M","M","20000.00",1,"Clerical","2022-07-07"
14538,187,"AW00014538","Katherine",NULL,"Brown","S","F","30000.00",4,"Clerical","2021-03-04"
14539,197,"AW00014539","Carrie",NULL,"Alonso","S","F","30000.00",4,"Clerical","2021-03-02"
14540,257,"AW00014540","Randy",NULL,"Lin","M","M","10000.00",1,"Manual","2022-03-09"
14541,171,"AW00014541","Douglas","D","Kapoor","S","M","20000.00",1,"Clerical","2020-09-08"
14542,261,"AW00014542","Alex","I","Ward","M","M","10000.00",1,"Clerical","2022-07-19"
14543,134,"AW00014543","Heather",NULL,"Lu","M","F","10000.00",1,"Manual","2022-07-05"
14544,189,"AW00014544","Darryl","Y","West","S","M","10000.00",1,"Manual","2022-05-11"
14545,234,"AW00014545","Faith",NULL,"Henderson","M","F","10000.00",2,"Manual","2022-04-13"
14546,262,"AW00014546","Christina","S","Sanchez","M","F","10000.00",2,"Manual","2022-03-18"
14547,267,"AW00014547","Noah","L","Thompson","M","M","10000.00",2,"Manual","2022-11-23"
14548,186,"AW00014548","Maria","E","Turner","M","F","10000.00",2,"Manual","2022-11-01"
14549,126,"AW00014549","Arturo","J","Goel","M","M","10000.00",2,"Manual","2022-08-16"
14550,180,"AW00014550","Kristy","L","Vazquez","M","F","10000.00",2,"Clerical","2022-09-07"
14551,168,"AW00014551","Michele","C","Vance","M","F","20000.00",1,"Clerical","2022-12-20"
14552,229,"AW00014552","Daisy",NULL,"Ramos","M","F","20000.00",1,"Clerical","2022-10-22"
14553,266,"AW00014553","Leah","H","Ma","M","F","20000.00",1,"Clerical","2022-03-20"
14554,269,"AW00014554","Isaac",NULL,"Mitchell","M","M","20000.00",1,"Clerical","2022-04-07"
14555,185,"AW00014555","Jodi","D","Kumar","S","F","10000.00",2,"Manual","2021-03-28"
14556,221,"AW00014556","Rafael",NULL,"He","M","M","10000.00",3,"Manual","2022-09-26"
14557,31,"AW00014557","Mathew","L","Sanz","M","M","10000.00",0,"Manual","2022-01-29"
14558,648,"AW00014558","Marcel",NULL,"Truempy","M","F","50000.00",1,"Skilled Manual","2020-01-25"
14559,337,"AW00014559","Ashley",NULL,"Washington","M","F","50000.00",1,"Skilled Manual","2020-01-16"
14560,298,"AW00014560","Kelvin",NULL,"Huang","M","M","50000.00",1,"Skilled Manual","2020-01-05"
14561,64,"AW00014561","Eduardo",NULL,"Miller","M","M","50000.00",1,"Skilled Manual","2022-02-01"
14562,311,"AW00014562","Bryce","B","Stewart","M","M","50000.00",1,"Skilled Manual","2022-05-19"
14563,631,"AW00014563","Fernando",NULL,"Carter","M","M","50000.00",1,"Skilled Manual","2022-07-24"
14564,359,"AW00014564","Chloe","L","Bailey","M","F","50000.00",1,"Skilled Manual","2022-12-19"
14565,343,"AW00014565","Natalie","L","Hernandez","S","F","50000.00",2,"Skilled Manual","2020-02-03"
14566,50,"AW00014566","Kaylee","R","Mitchell","M","F","60000.00",1,"Professional","2022-04-17"
14567,64,"AW00014567","Seth",NULL,"Thomas","M","M","60000.00",1,"Professional","2022-01-28"
14568,536,"AW00014568","Priscilla","C","Kumar","S","F","60000.00",1,"Professional","2022-04-07"
14569,609,"AW00014569","Kristopher",NULL,"Rodriguez","M","M","60000.00",1,"Professional","2022-10-22"
14570,648,"AW00014570","Hannah",NULL,"Henderson","M","F","60000.00",1,"Professional","2022-05-05"
14571,298,"AW00014571","Rachel","M","Richardson","M","F","60000.00",1,"Professional","2022-08-21"
14572,336,"AW00014572","Melanie",NULL,"Foster","M","F","70000.00",3,"Professional","2020-02-16"
14573,552,"AW00014573","Madison","M","Wood","M","F","60000.00",1,"Professional","2022-09-26"
14574,66,"AW00014574","Katherine","C","Powell","S","F","60000.00",1,"Professional","2022-06-23"
14575,634,"AW00014575","Rachel","C","Lee","M","F","60000.00",1,"Professional","2023-01-23"
14576,635,"AW00014576","Anna",NULL,"Price","S","F","60000.00",2,"Skilled Manual","2020-02-10"
14577,539,"AW00014577","Natalie","A","Rogers","S","F","60000.00",2,"Skilled Manual","2020-02-26"
14578,49,"AW00014578","Jonathan",NULL,"Carter","M","M","60000.00",2,"Skilled Manual","2022-06-28"
14579,542,"AW00014579","Luis",NULL,"Henderson","S","M","60000.00",2,"Skilled Manual","2022-03-03"
14580,347,"AW00014580","Kyle",NULL,"Diaz","S","M","40000.00",0,"Professional","2020-03-16"
14581,547,"AW00014581","Kevin","M","Adams","S","M","40000.00",0,"Professional","2020-03-06"
14582,69,"AW00014582","Marcus",NULL,"Reed","M","M","60000.00",1,"Professional","2022-02-10"
14583,542,"AW00014583","Sydney",NULL,"Morris","M","F","60000.00",2,"Professional","2023-01-03"
14584,383,"AW00014584","Gabrielle",NULL,"Mitchell","S","F","80000.00",2,"Professional","2020-03-07"
14585,385,"AW00014585","Kimberly",NULL,"Torres","M","F","80000.00",2,"Professional","2020-03-26"
14586,58,"AW00014586","Todd",NULL,"Rowe","S","F","70000.00",2,"Skilled Manual","2022-11-19"
14587,543,"AW00014587","Jade","J","Peterson","S","F","50000.00",2,"Skilled Manual","2022-05-27"
14588,635,"AW00014588","Alexander","E","Taylor","S","M","50000.00",2,"Skilled Manual","2022-09-20"
14589,355,"AW00014589","Mackenzie","R","Cook","S","F","60000.00",3,"Skilled Manual","2020-03-29"
14590,311,"AW00014590","Marissa","E","Butler","S","F","60000.00",3,"Skilled Manual","2020-03-19"
14591,335,"AW00014591","Charles","E","Harris","S","M","60000.00",0,"Professional","2020-04-07"
14592,644,"AW00014592","Jessica",NULL,"Thompson","M","F","60000.00",0,"Professional","2022-06-02"
14593,383,"AW00014593","Jack","M","Washington","M","M","60000.00",0,"Professional","2022-06-17"
14594,383,"AW00014594","Lauren","T","Taylor","M","F","60000.00",0,"Professional","2022-04-28"
14595,325,"AW00014595","Andrea",NULL,"Ward","M","F","60000.00",0,"Professional","2022-10-30"
14596,326,"AW00014596","Amber","W","Hill","M","F","70000.00",4,"Professional","2020-04-12"
14597,51,"AW00014597","Sean","L","Reed","M","M","70000.00",4,"Professional","2022-06-28"
14598,68,"AW00014598","Miranda",NULL,"Ross","M","F","70000.00",5,"Professional","2022-06-03"
14599,543,"AW00014599","Charles","A","Wilson","M","M","70000.00",5,"Professional","2020-04-22"
14600,632,"AW00014600","Ariana","V","Ramirez","M","F","70000.00",5,"Professional","2022-09-10"
14601,311,"AW00014601","Nicolas","A","Rai","M","M","80000.00",2,"Professional","2020-04-29"
14602,383,"AW00014602","Kaylee","W","Kelly","M","F","80000.00",3,"Professional","2020-04-06"
14603,355,"AW00014603","Sara",NULL,"Ward","S","F","80000.00",3,"Skilled Manual","2020-04-07"
14604,69,"AW00014604","Nicholas","D","Rodriguez","M","M","80000.00",3,"Skilled Manual","2022-02-04"
14605,62,"AW00014605","Allison",NULL,"Brooks","S","F","80000.00",4,"Skilled Manual","2022-06-27"
14606,69,"AW00014606","Amanda","P","Cooper","S","F","80000.00",4,"Skilled Manual","2022-06-19"
14607,542,"AW00014607","Isaiah",NULL,"Nelson","M","M","50000.00",4,"Skilled Manual","2022-11-10"
14608,611,"AW00014608","Warren","A","Gao","M","M","50000.00",4,"Skilled Manual","2022-04-21"
14609,343,"AW00014609","Julia",NULL,"Phillips","S","F","50000.00",5,"Skilled Manual","2022-06-19"
14610,616,"AW00014610","Lauren","S","Jenkins","S","F","50000.00",5,"Skilled Manual","2020-04-05"
14611,68,"AW00014611","Zoe","R","James","S","F","50000.00",4,"Skilled Manual","2022-09-04"
14612,300,"AW00014612","Ernest","M","Zhang","M","M","60000.00",4,"Professional","2022-12-04"
14613,611,"AW00014613","Glenn",NULL,"Huang","M","M","60000.00",4,"Professional","2020-04-28"
14614,310,"AW00014614","Dylan","J","Bryant","S","M","60000.00",0,"Professional","2020-05-28"
14615,311,"AW00014615","Audrey","E","Dominguez","S","F","60000.00",0,"Professional","2022-10-30"
14616,311,"AW00014616","Emma","J","Sandberg","S","F","60000.00",0,"Professional","2020-05-26"
14617,614,"AW00014617","Aaron",NULL,"Flores","S","M","60000.00",0,"Professional","2020-05-12"
14618,618,"AW00014618","Gabrielle","D","Baker","M","F","60000.00",3,"Professional","2022-09-30"
14619,618,"AW00014619","Nathaniel","L","Sanders","M","M","60000.00",3,"Professional","2022-10-22"
14620,347,"AW00014620","Kayla","B","Patterson","M","F","60000.00",3,"Professional","2022-08-01"
14621,545,"AW00014621","Chloe","D","Morris","S","F","70000.00",1,"Professional","2022-12-20"
14622,312,"AW00014622","Brandon","L","Patterson","M","M","70000.00",1,"Skilled Manual","2022-05-13"
14623,359,"AW00014623","Benjamin","H","Li","M","M","70000.00",1,"Skilled Manual","2022-03-06"
14624,618,"AW00014624","Anna","R","Thomas","M","F","70000.00",1,"Skilled Manual","2022-10-28"
14625,627,"AW00014625","Benjamin","I","Simmons","M","M","70000.00",1,"Skilled Manual","2022-10-29"
14626,51,"AW00014626","Jesse",NULL,"Gray","M","M","40000.00",4,"Skilled Manual","2022-04-05"
14627,358,"AW00014627","Isaiah","D","Hill","M","M","60000.00",1,"Skilled Manual","2022-06-29"
14628,543,"AW00014628","Carlos",NULL,"Brooks","M","M","60000.00",1,"Skilled Manual","2022-10-09"
14629,612,"AW00014629","Blake",NULL,"Hernandez","M","M","60000.00",1,"Skilled Manual","2022-03-07"
14630,329,"AW00014630","Isaiah",NULL,"James","M","M","60000.00",1,"Skilled Manual","2022-11-02"
14631,69,"AW00014631","Logan","K","Flores","M","M","60000.00",1,"Skilled Manual","2022-07-16"
14632,70,"AW00014632","Austin","A","Wang","M","M","60000.00",1,"Skilled Manual","2022-03-01"
14633,52,"AW00014633","Timothy",NULL,"Morgan","M","M","60000.00",1,"Skilled Manual","2022-02-16"
14634,552,"AW00014634","Amber",NULL,"Baker","M","F","60000.00",1,"Skilled Manual","2020-05-30"
14635,553,"AW00014635","Luke","M","Carter","M","M","40000.00",4,"Skilled Manual","2022-08-08"
14636,542,"AW00014636","Kelly","L","Powell","M","F","40000.00",4,"Skilled Manual","2020-05-23"
14637,607,"AW00014637","Dustin",NULL,"Nath","M","M","40000.00",4,"Skilled Manual","2022-09-24"
14638,536,"AW00014638","Blake","D","Scott","S","M","40000.00",0,"Professional","2022-12-18"
14639,315,"AW00014639","Jeremiah","L","Howard","M","M","60000.00",1,"Skilled Manual","2020-05-15"
14640,51,"AW00014640","Mackenzie","A","Adams","S","F","50000.00",0,"Skilled Manual","2022-07-27"
14641,71,"AW00014641","Timothy","C","Turner","M","M","50000.00",0,"Skilled Manual","2022-04-08"
14642,536,"AW00014642","Jeffery","C","Zeng","S","M","50000.00",0,"Skilled Manual","2022-05-26"
14643,616,"AW00014643","Eric","M","Simmons","S","M","50000.00",0,"Skilled Manual","2020-06-03"
14644,543,"AW00014644","Jennifer","R","Lee","S","F","50000.00",0,"Skilled Manual","2022-02-10"
14645,326,"AW00014645","Isaac","P","Kelly","S","M","60000.00",0,"Professional","2020-06-24"
14646,339,"AW00014646","Dylan","L","Garcia","S","M","60000.00",0,"Professional","2020-06-25"
14647,347,"AW00014647","Sean","A","Howard","M","M","60000.00",0,"Professional","2020-06-20"
14648,343,"AW00014648","Eric","M","Evans","S","M","90000.00",5,"Professional","2020-06-15"
14649,374,"AW00014649","Grace",NULL,"Cox","M","F","60000.00",1,"Skilled Manual","2020-06-20"
14650,644,"AW00014650","Adam",NULL,"Perry","M","M","60000.00",1,"Skilled Manual","2020-06-27"
14651,552,"AW00014651","Amber",NULL,"Green","M","F","60000.00",1,"Skilled Manual","2020-06-07"
14652,300,"AW00014652","Russell","S","Luo","M","M","60000.00",1,"Skilled Manual","2020-06-22"
14653,311,"AW00014653","Troy","H","Fernandez","M","M","60000.00",1,"Skilled Manual","2020-07-25"
14654,627,"AW00014654","Kyle","P","Collins","M","M","60000.00",4,"Professional","2022-04-01"
14655,71,"AW00014655","Kayla","E","Washington","M","F","70000.00",5,"Professional","2022-02-21"
14656,609,"AW00014656","Bryant","R","Fernandez","M","M","80000.00",1,"Professional","2020-07-13"
14657,633,"AW00014657","John","W","Thomas","M","M","80000.00",1,"Skilled Manual","2020-07-01"
14658,69,"AW00014658","Chloe","J","Green","M","F","60000.00",1,"Professional","2022-06-04"
14659,348,"AW00014659","Zachary","E","Harris","M","M","60000.00",1,"Professional","2022-05-27"
14660,547,"AW00014660","Gabrielle",NULL,"Howard","M","F","60000.00",1,"Professional","2020-07-19"
14661,56,"AW00014661","Jade","D","Ward","M","F","60000.00",1,"Professional","2022-05-02"
14662,315,"AW00014662","Jack",NULL,"Ross","M","M","60000.00",1,"Professional","2020-07-25"
14663,310,"AW00014663","Arturo","R","Hu","M","M","70000.00",5,"Professional","2022-11-16"
14664,358,"AW00014664","Kayla","L","Ross","S","F","80000.00",5,"Management","2020-07-30"
14665,40,"AW00014665","Jesse","J","King","M","M","80000.00",4,"Management","2022-06-22"
14666,11,"AW00014666","Louis",NULL,"Gao","M","M","90000.00",1,"Management","2021-09-10"
14667,35,"AW00014667","Olivia","L","Alexander","M","F","80000.00",4,"Management","2021-09-24"
14668,18,"AW00014668","Joe",NULL,"Martin","M","M","80000.00",4,"Management","2021-09-04"
14669,7,"AW00014669","Erika","L","Blanco","M","F","80000.00",4,"Management","2022-09-06"
14670,5,"AW00014670","Leslie",NULL,"Gill","S","F","60000.00",2,"Professional","2021-09-08"
14671,6,"AW00014671","Cristina","M","Lal","M","F","60000.00",2,"Professional","2021-09-25"
14672,21,"AW00014672","Omar","F","Nath","S","M","110000.00",1,"Management","2021-09-26"
14673,22,"AW00014673","Willie",NULL,"Rai","M","M","110000.00",1,"Management","2021-09-09"
14674,39,"AW00014674","Alexis","D","Williams","M","F","70000.00",5,"Professional","2022-08-30"
14675,25,"AW00014675","Brandi","M","Gomez","M","F","70000.00",5,"Professional","2022-06-07"
14676,4,"AW00014676","Micah","C","Wang","S","M","70000.00",5,"Professional","2021-09-14"
14677,13,"AW00014677","Ross",NULL,"Hernandez","S","M","80000.00",5,"Management","2022-05-11"
14678,11,"AW00014678","Shannon","M","Zheng","M","F","80000.00",5,"Management","2022-02-19"
14679,37,"AW00014679","Natasha",NULL,"Suarez","S","F","80000.00",5,"Professional","2022-12-25"
14680,20,"AW00014680","Marvin",NULL,"Munoz","S","M","80000.00",5,"Professional","2022-11-28"
14681,24,"AW00014681","Veronica",NULL,"Chandra","S","F","70000.00",0,"Professional","2021-08-29"
14682,36,"AW00014682","Gail","C","Alexander","S","F","70000.00",0,"Professional","2022-05-17"
14683,28,"AW00014683","Molly",NULL,"Sai","M","F","60000.00",3,"Professional","2022-03-01"
14684,34,"AW00014684","James",NULL,"Zhang","M","M","60000.00",3,"Professional","2022-10-16"
14685,24,"AW00014685","Lawrence",NULL,"Ortega","S","M","60000.00",3,"Professional","2022-08-01"
14686,17,"AW00014686","Casey","A","Raje","M","F","60000.00",3,"Professional","2022-04-13"
